xValue,yValue
50.44,0.00182223
51.3,
51.3,0.00504484
50.94,0.00607501
50.62,0.00441696
54.47,0.00802206
49.95,
52.14,0.00154639
52.37,0.00842359
53.33,0.00255428
52.42,0.00721548
49.48,0.00519603
53.61,0.00726744
48.55,0.00303951
50.86,0.00596604
51.39,0.00840336
46.76,0.00265252
50.92,0.00341006
52.56,0.0133749
51.41,0.00575583
52.42,0.00282486
51.07,0.00404507
50.78,0.00546697
52.18,0.00992064
52.16,0.00909671
50.17,0.0027933
50.57,0.00803818
53.45,0.00998336
51.58,0.00865622
50.79,0.00103591
47.33,0.00373832
50.58,0.0018395
50.11,0.00997862
51.84,0.0026643
50.54,0.00279416
53.13,0.00179265
52.2,0.00575944
52.6,0.00712086
51.5,0.00354191
51.41,0.00291886
52.95,0.00959024
50.54,0.00698487
52.98,0.00707547
51.33,0.0117748
51.3,0.00249792
52.24,0.00390016
50.37,0.0121916
47.15,0.00330033
51.1,0.0143223
51.37,0.00685835
50,0.0086741
48.25,0.00503356
49.84,0.000763359
51.37,0.00352467
53.48,0.013245
51.99,0.00232086
50.93,0.00234907
52.39,0.00674374
54.17,0.00703235
52.35,0.00245298
54.36,0.00182371
51.78,0.00814001
51.24,0.00316957
51.58,0.000851426
50.87,0.00181971
50.15,0.0124341
51.49,0.0305195
51.35,0.00572172
52.06,0.00631136
51.68,
51.81,0.00270392
51.68,0.00365213
51.64,0.00802568
53.29,0.00726895
52.4,0.0226667
51.79,0.0011655
52.53,0.00319829
48.73,0.00518807
51.24,0.00464684
50.33,0.00182399
51.67,0.00643301
52.33,0.000241663
53.74,0.0052356
51,0.0100719
51.72,0.00420168
48.23,0.00648088
50.57,0.000970874
50.82,0.00677789
49.89,0.00381337
50.07,
52.02,0.0103496
51.51,0.00780437
50.4,0.00353357
50.85,0.00291734
52.05,0.00214439
50.93,0.0150985
50.47,0.0110149
50.79,0.00538462
49.15,0.0112583
51.06,0.00651965
51.13,0.0025731
51.66,0.00289268
50.65,0.00663954
55.76,
50.27,0.00124157
50.74,0.000901172
51.76,0.0086076
48.06,0.00162866
51.86,0.00346821
51.37,0.000243843
49.46,0.00264784
51.75,0.00117994
50.4,0.00277008
51.2,0.00475907
51.58,0.00160649
50.95,0.00134771
51.89,0.00378856
50.62,0.0038373
52.05,0.00303721
51.2,0.00269447
50.37,0.00107681
51.38,0.00672834
51.72,0.00442233
52.03,0.0097561
51.6,0.00237718
50.11,0.00282287
52.64,0.000865052
52.8,0.00274914
51.1,0.0026121
51.51,0.00448151
52.24,0.00376569
52.39,0.0042508
49.51,0.00194175
51.37,0.00449735
51.21,0.00876889
50.97,
53.18,0.00255568
53.42,0.00384986
51.5,
49.75,0.00436681
50.81,0.0110633
51.23,0.00261816
50.07,0.00436808
52.14,0.00619718
53.46,0.00386473
53.02,0.0037831
51.62,0.00060983
50.28,0.00306659
49.28,0.00717213
51.68,0.0205985
49.11,0.00583791
52.87,0.00474383
51.34,0.000684229
50.77,0.0108349
51.57,0.00106553
51.95,0.00940212
51.72,0.00214592
51.62,0.00653862
51.14,0.00941398
51.22,0.00159716
50.69,0.0236138
50.77,0.00488355
48.87,0.00456158
54.76,0.00447928
50.33,0.00402901
51.87,0.00275387
51.56,
50.05,0.00239693
49.83,0.00739372
49.54,0.00774693
50,0.00602864
52,0.0108225
51.29,0.00279851
51.58,
52.48,0.0106693
51.22,
50.64,0.000467071
50.19,0.000759878
52.99,0.00561466
54.32,0.00981873
51.8,0.00350672
51.37,0.0279898
52.47,0.00538145
53.68,0.00576875
51.18,0.00531915
50.72,0.010923
51.37,0.00761649
51.91,0.00889121
51.08,0.00111111
52.77,0.00326087
50.47,0.00372362
50.88,0.00374801
53.37,0.00908059
51.79,0.00805408
48.44,0.00740741
51.46,0.00204304
51.29,0.00617485
51.44,0.00650255
51.45,0.00363665
53.33,0.00310945
51.59,0.0121317
50.23,0.00858106
51.74,0.00140944
51.21,0.00644202
51.72,0.00302541
51.12,0.00275145
52.92,0.00324675
50.41,
54.52,0.00498008
50.84,0.00413864
52.32,0.0128664
49.84,0.00240385
50.59,0.00899281
51.06,0.00305188
51.35,0.00411241
52.11,0.00119646
51.99,0.0108551
50.82,0.00393701
51.93,0.0075643
53.11,0.00880705
50.59,0.00923226
54.04,0.00499064
49.24,0.0122699
50.62,0.00170519
49.12,0.0058072
51.36,0.0196249
51.11,0.00780031
51.67,0.00891972
51.25,0.00194894
52.2,0.00617556
51,0.014081
55.56,0.00554017
50.72,0.00259235
54.65,0.00278552
51.45,0.0114275
51.08,0.00799201
49.49,0.00436047
53.1,0.00339905
51.59,0.00712251
50.9,0.000846571
51.33,0.00555193
50.63,0.0079588
54.81,0.0120192
48.58,0.00500835
52.45,0.00197044
50.71,0.00889328
52.81,0.00522814
54.47,0.0105955
53.98,0.00066313
50.79,0.00954198
51.31,0.001693
53.25,0.00242522
52.46,0.0026824
51.73,
52.57,0.000634921
53.18,0.00371747
51.29,0.000914077
50.5,0.00135808
52,0.00851668
49.82,0.00939702
52.01,0.006875
49.71,0.00530504
51.08,0.00370599
51.92,0.00818182
50.81,0.00601685
50.79,0.00851393
51.39,0.00448431
51.95,0.00558659
51.85,0.0133111
51.16,0.000343554
51.98,0.00910125
54.91,0.00385356
52.05,0.00579523
51.2,0.000532765
51.34,0.00902873
51.74,0.0105485
51.57,0.00673653
51.33,0.021665
50.64,0.0059312
51.73,0.00536324
52.69,0.00520291
50.32,0.00189813
51.77,0.0018778
51.47,0.00110619
46.75,
49.33,0.00338409
52.84,0.0035668
51.72,0.00195771
52.14,0.0123839
49.31,0.0037594
52.05,0.00501952
51,0.000909918
50.32,0.00574713
51.28,0.00386132
52.13,0.00618557
51.61,0.00404157
50.91,0.00731707
51.96,0.00298557
51.2,0.00070028
52.23,0.00825688
52.41,0.00982318
49.91,0.00695048
51.86,0.00318387
50.7,0.0051053
51.05,0.00307287
50.45,0.00554119
50.07,0.00148148
51.91,0.00125786
51.52,0.00205023
49.54,0.000555401
50.34,0.00379597
51.22,0.00628366
52.24,0.000754148
49.38,0.00250941
51.26,0.00918728
51.3,0.00936849
52.09,0.00441696
52.13,0.00730994
54.22,0.00108932
52.21,0.00372439
50.34,0.00599401
50,
51.44,0.000496401
52.97,0.0068306
51.41,0.013189
53.33,0.00390625
51.53,0.00748363
51.45,0.00596506
51.77,0.00815047
52.93,0.00511182
50.14,0.00290456
51.68,0.00837026
52.82,0.0134341
48.81,0.00355872
52.88,0.00147856
52.34,0.00252366
51.54,0.00821745
52.59,0.00241935
52.29,0.00982962
52.21,0.00794136
49.24,0.00402414
51.85,0.00650976
50.58,0.00165816
50.78,0.000581283
52.34,0.00221239
53.09,0.012264
52.56,0.0245541
52.77,0.00210748
51.7,0.00149198
51.35,0.00600765
52.45,0.00212615
51.25,0.00309406
50.67,0.0033394
52.39,0.00133869
50.21,0.00429053
51.47,0.00194426
50.91,0.00275989
51.85,0.00466978
47.54,0.0112676
51.33,0.00388224
53,0.0119585
52.62,0.00413544
51.67,0.00544135
52.85,0.0075188
51.45,0.00374468
52.47,0.00587008
51.79,0.00898204
51.62,0.00334129
51.38,0.0115502
51.06,
52.41,0.00772025
52.24,0.005145
52.64,0.00350877
52.73,0.00406977
49.85,0.00362209
49.36,0.00125
52.72,0.00232198
51.43,0.00315623
52.57,0.00209006
52.91,0.0101954
52.24,0.00116822
51.2,0.00220732
51.31,0.00302801
52.13,0.00355345
51.37,0.00158856
50.48,0.000406669
53.28,0.00438596
50.21,0.00514139
51.02,0.00464807
50.37,0.00951557
50.25,0.00581395
51.47,0.00334001
51.13,
50.64,0.00255754
51.24,0.00979653
52.01,
50.81,0.00682594
51.77,0.00442233
51.45,0.00660066
51.8,0.00622605
50.37,
53.38,0.00359281
51.35,0.00327332
51.28,0.00943953
51.72,0.00108578
53.19,0.0027933
52.55,0.000855432
51.74,0.00108202
50.72,0.00631413
48.73,0.00387597
48.33,0.0006035
51.7,0.00369559
51.82,0.0023071
50.65,0.0112782
52,0.00132013
53.2,0.00802139
49.74,0.0056926
52.9,0.00147362
53.08,0.00838574
49.33,0.00257511
51.17,0.00659703
51.45,0.00331226
50.79,0.00261438
50.8,0.00281402
51.14,0.00100402
53.15,0.0016129
56,
53.5,
50.94,0.00214746
52.21,0.00574163
51.56,0.00512821
49.38,0.00489596
51.34,0.00160772
51.14,0.00847458
51.72,0.00497984
52.18,0.000554631
51.13,0.00111701
53.22,0.00690335
52.38,0.00433912
52.67,0.00407056
51.46,0.0126246
50.3,0.00769231
51.5,0.0043175
51.28,0.00156986
51.44,0.00293172
50.9,0.00312989
51.91,0.00343947
48.5,0.00369004
51.42,0.00421105
50.54,0.00137363
52.21,0.0081448
52.42,0.0118168
49.68,0.00976139
51.06,0.00165406
51.29,0.00763359
50.96,0.0174111
50.87,0.00125945
52.75,0.0067446
51.22,0.0019527
51.33,0.00263115
49.9,
52.39,0.00162075
50.66,0.00136612
52.52,0.0043692
50.46,0.00732807
52.09,0.00680675
52.16,0.001924
52.1,0.00540216
49.93,0.00230814
50.48,0.00419048
53.22,0.006628
51.52,0.00373832
50.68,0.00456274
51.33,0.00796915
51.25,0.00579897
52.41,0.00441306
51.61,0.0031235
50.17,0.00496196
52.89,0.00335008
52.59,0.00402068
53.1,0.00102249
52.47,0.00485101
51.28,0.00578453
52.34,0.00101163
53.07,0.0017138
54.42,0.00881612
52.41,0.0065382
51.65,0.0058296
51.52,0.00461409
51.48,0.00612423
49.17,0.00322928
52.42,0.00535865
50.25,0.00220681
51.4,0.00120399
50.06,0.00380325
56.57,0.0178817
55.07,0.000782473
51.6,0.0115146
60.18,0.0042471